Award_ID,Function_Name,Status,Start_Time,Duration_Seconds,Error_Message
441,scrape441,Failure,2026-02-06 01:09:50.601231,3.621641,"Message: session not created: cannot connect to chrome at 127.0.0.1:58199
from session not created: This version of ChromeDriver only supports Chrome version 145
Current browser version is 144.0.7559.133
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x68f393
	0x68f3d4
	0x482090
	0x4bd732
	0x4bc76c
	0x4b2845
	0x4b2666
	0x4fae7f
	0x4fa697
	0x4eebb6
	0x4c0319
	0x4c10d4
	0x8e3de4
	0x8df0e9
	0x8fc080
	0x6a80a8
	0x6afdfd
	0x697bc8
	0x697d92
	0x68189a
	0x765a5d49
	0x7755d5db
	0x7755d561
"
479,scrape479,Failure,2026-02-06 01:09:54.252642,5.25228,"Message: session not created: cannot connect to chrome at 127.0.0.1:62960
from session not created: This version of ChromeDriver only supports Chrome version 145
Current browser version is 144.0.7559.133
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x4ff393
	0x4ff3d4
	0x2f2090
	0x32d732
	0x32c76c
	0x322845
	0x322666
	0x36ae7f
	0x36a697
	0x35ebb6
	0x330319
	0x3310d4
	0x753de4
	0x74f0e9
	0x76c080
	0x5180a8
	0x51fdfd
	0x507bc8
	0x507d92
	0x4f189a
	0x765a5d49
	0x7755d5db
	0x7755d561
"
4891,scrape4891,Success,2026-02-06 01:09:59.540860,123.420909,
504,scrape504,Success,2026-02-06 01:12:03.007766,5.67724,
528,scrape528,Success,2026-02-06 01:12:08.713388,1.482958,
593,scrape593,Success,2026-02-06 01:12:10.239039,15.377929,
594,scrape594,Success,2026-02-06 01:12:25.657246,14.957985,
611,scrape611,Success,2026-02-06 01:12:40.660998,14.016294,
722,scrape722,Success,2026-02-06 01:12:54.709742,1.873304,
809,scrape809,Success,2026-02-06 01:12:56.610175,16.029672,
814,scrape814,Success,2026-02-06 01:13:12.678118,0.513426,
815,scrape815,Success,2026-02-06 01:13:13.227366,0.29263,
816,scrape816,Success,2026-02-06 01:13:13.555578,0.462542,
817,scrape817,Success,2026-02-06 01:13:14.050274,0.570302,
818,scrape818,Success,2026-02-06 01:13:14.648959,0.548931,
819,scrape819,Success,2026-02-06 01:13:15.228984,17.445854,
820,scrape820,Success,2026-02-06 01:13:32.711588,1.30987,
821,scrape821,Success,2026-02-06 01:13:34.065196,0.604673,
822,scrape822,Success,2026-02-06 01:13:34.702350,0.524345,
823,scrape823,Success,2026-02-06 01:13:35.255909,0.574805,
8258,scrape8258,Failure,2026-02-06 01:13:35.857495,5.146165,"Message: session not created: cannot connect to chrome at 127.0.0.1:51615
from session not created: This version of ChromeDriver only supports Chrome version 145
Current browser version is 144.0.7559.133
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc3f393
	0xc3f3d4
	0xa32090
	0xa6d732
	0xa6c76c
	0xa62845
	0xa62666
	0xaaae7f
	0xaaa697
	0xa9ebb6
	0xa70319
	0xa710d4
	0xe93de4
	0xe8f0e9
	0xeac080
	0xc580a8
	0xc5fdfd
	0xc47bc8
	0xc47d92
	0xc3189a
	0x765a5d49
	0x7755d5db
	0x7755d561
"
884,scrape884,Success,2026-02-06 01:13:41.033428,1.047683,
906,scrape906,Success,2026-02-06 01:13:42.118035,0.871117,
908,scrape908,Success,2026-02-06 01:13:43.027287,0.001001,
